listing_id,high_revenue_efficiency,log_price,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,instant_bookable,host_years,latitude,longitude,amenities_count,has_wifi,has_kitchen,has_washer,has_air_conditioning,has_parking,has_workspace,name_len,description_len,neighborhood_overview_len,host_about_len,has_description,has_neighborhood_overview,has_host_about,host_response_time,neighbourhood_cleansed,property_type_grouped,room_type,avg_minimum_nights,median_minimum_nights,avg_maximum_nights,median_maximum_nights
27886,1,4.890349128221754,2,1.5,1.0,1.0,3,356,1.0,0.97,1.0,1.0,1.0,0,15.482191780821918,52.38761,4.89188,51,1,0,0,1,1,1,49,269,42,228,1,1,1,within an hour,Centrum-West,Private room in houseboat,Private room,3.0,3.0,30.0,30.0
28871,1,4.499809670330265,2,1.0,1.0,1.0,2,730,1.0,0.99,1.0,1.0,1.0,0,15.342465753424657,52.36775,4.89092,18,1,0,0,0,0,0,23,41,44,2,1,1,1,within an hour,Centrum-West,Private room in rental unit,Private room,1.9616438356164383,2.0,730.0,730.0
29051,1,4.127134385045092,2,1.0,1.0,1.0,2,730,1.0,0.99,1.0,1.0,1.0,0,15.342465753424657,52.36584,4.89111,18,1,0,0,0,0,0,32,91,74,2,1,1,1,within an hour,Centrum-Oost,Private room in condo,Private room,1.9917808219178081,2.0,730.0,730.0
49552,1,5.777652323222656,3,1.0,2.0,2.0,3,1125,1.0,0.93,1.0,1.0,1.0,0,15.024657534246575,52.38028,4.89089,52,1,1,0,0,1,1,44,494,1000,1005,1,1,1,within a few hours,Centrum-West,Other,Entire home/apt,2.9835616438356163,3.0,1125.0,1125.0
50263,1,6.126869184114185,4,1.5,2.0,3.0,2,14,1.0,1.0,0.0,1.0,1.0,0,15.013698630136986,52.36937805386749,4.929579192438728,50,1,1,1,0,1,1,42,263,528,189,1,1,1,within an hour,Centrum-Oost,Entire condo,Entire home/apt,2.0,2.0,1125.0,1125.0
50515,1,5.293304824724492,5,1.5,3.0,3.0,7,18,0.0,0.19,0.0,1.0,1.0,0,15.008219178082191,52.37559,4.83857,39,1,1,1,0,1,0,42,326,420,444,1,1,1,a few days or more,Bos en Lommer,Entire townhouse,Entire home/apt,7.0,7.0,18.0,18.0
50523,1,5.093750200806762,2,1.0,1.0,1.0,2,365,1.0,0.99,1.0,1.0,1.0,0,15.008219178082191,52.36959,4.88423,20,1,0,0,0,0,0,34,475,0,80,1,0,1,within a few hours,Centrum-West,Entire condo,Entire home/apt,1.989041095890411,2.0,365.0,365.0
97221,1,4.23410650459726,2,1.0,1.0,2.0,2,8,1.0,0.98,0.0,1.0,1.0,0,15.101369863013698,52.34801,4.83639,15,1,0,0,0,0,0,27,112,0,110,1,0,1,within an hour,Slotervaart,Private room in bed and breakfast,Private room,2.0,2.0,8.0,8.0
137026,1,5.817111159963204,4,2.0,3.0,3.0,2,1125,1.0,0.74,1.0,1.0,1.0,0,14.276712328767124,52.35178,4.90699,56,1,1,1,0,1,1,46,187,616,199,1,1,1,within an hour,De Pijp - Rivierenbuurt,Entire townhouse,Entire home/apt,2.0,2.0,1125.0,1125.0
179528,0,5.71042701737487,3,1.5,2.0,2.0,7,60,1.0,1.0,1.0,1.0,1.0,0,14.147945205479452,52.34332,4.89484,50,1,1,1,0,1,1,33,164,153,124,1,1,1,within an hour,De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,15.621917808219179,10.0,1125.0,1125.0
188347,1,4.23410650459726,2,1.0,1.0,1.0,3,28,1.0,0.96,0.0,1.0,1.0,0,14.12054794520548,52.3683,4.85446,50,1,1,1,0,1,1,31,507,212,525,1,1,1,within an hour,De Baarsjes - Oud-West,Private room in condo,Private room,2.8328767123287673,3.0,1125.0,1125.0
189754,1,5.44673737166631,4,1.0,1.0,3.0,2,1125,1.0,1.0,1.0,1.0,1.0,1,14.117808219178082,52.37548,4.89398,63,1,0,0,0,1,1,33,358,329,776,1,1,1,within an hour,Centrum-West,Entire loft,Entire home/apt,2.0,2.0,1125.0,1125.0
193038,1,5.0689042022202315,2,1.0,1.0,1.0,3,31,1.0,1.0,1.0,1.0,1.0,1,14.106849315068493,52.36057,4.89671,35,1,0,0,0,1,0,50,153,53,163,1,1,1,within an hour,Centrum-Oost,Private room in loft,Private room,2.9945205479452053,3.0,1125.0,1125.0
245927,1,6.455198563340122,4,1.5,2.0,3.0,2,180,1.0,1.0,0.0,1.0,1.0,1,14.065753424657535,52.36897659301758,4.887128829956055,61,1,1,1,0,1,0,50,528,195,266,1,1,1,within an hour,Centrum-West,Other,Entire home/apt,2.0547945205479454,2.0,180.0,180.0
247805,1,4.770684624465665,2,1.5,1.0,1.0,2,365,1.0,0.92,1.0,1.0,1.0,0,13.915068493150685,52.36707,4.87348,44,1,1,0,0,0,0,35,230,0,219,1,0,1,within a day,De Baarsjes - Oud-West,Private room in rental unit,Private room,2.0,2.0,365.0,365.0
254104,1,5.225746673713202,2,1.0,1.0,1.0,2,31,1.0,0.81,0.0,1.0,1.0,0,13.89041095890411,52.364898681640625,4.9091691970825195,50,1,1,1,0,1,1,32,127,191,286,1,1,1,within a day,Centrum-Oost,Private room in bed and breakfast,Private room,2.0,2.0,31.0,31.0
255809,1,5.634789603169249,4,1.0,2.0,2.0,2,30,1.0,0.9,1.0,1.0,1.0,0,13.882191780821918,52.34416,4.88709,44,1,1,0,0,1,1,35,171,535,250,1,1,1,within an hour,De Pijp - Rivierenbuurt,Other,Private room,2.0,2.0,30.0,30.0
283170,0,6.9440872082295275,8,1.5,5.0,8.0,2,90,1.0,0.78,0.0,1.0,1.0,0,13.797260273972602,52.35435,4.87316,70,1,1,1,0,1,0,48,229,0,173,1,0,1,within an hour,Zuid,Entire rental unit,Entire home/apt,2.0,2.0,90.0,90.0
286500,1,5.220355825078324,2,1.0,1.0,1.0,3,365,1.0,1.0,1.0,1.0,1.0,1,13.764383561643836,52.37561,4.9,36,1,0,0,1,0,0,40,483,663,192,1,1,1,within an hour,Centrum-West,Private room in rental unit,Private room,16.435616438356163,3.0,1125.0,1125.0
290701,1,5.220355825078324,2,1.0,1.0,1.0,3,365,1.0,1.0,1.0,1.0,1.0,1,13.764383561643836,52.37561,4.9,34,1,0,0,0,0,0,49,488,398,192,1,1,1,within an hour,Centrum-West,Private room in home,Private room,16.45205479452055,3.0,1125.0,1125.0
291752,1,4.955827057601261,2,1.0,1.0,1.0,3,1125,1.0,0.96,1.0,1.0,1.0,0,13.747945205479452,52.35143,4.91272,18,1,0,1,0,0,1,32,227,1000,84,1,1,1,within a few hours,Oud-Oost,Private room in rental unit,Private room,2.9835616438356163,3.0,1125.0,1125.0
304082,1,5.225746673713202,2,1.5,1.0,1.0,2,1125,0.95,0.96,1.0,1.0,1.0,0,14.871232876712329,52.37046,4.89712,44,1,1,0,0,0,0,48,485,0,313,1,0,1,within a few hours,Centrum-West,Entire guesthouse,Entire home/apt,2.410958904109589,2.0,1125.0,1125.0
306852,0,5.303304908059076,4,1.5,2.0,2.0,4,21,1.0,0.8,0.0,1.0,1.0,0,14.01095890410959,52.35931,4.89844,18,1,1,1,0,0,0,42,0,0,119,0,0,1,unknown,Centrum-Oost,Entire rental unit,Entire home/apt,4.0,4.0,21.0,21.0
307497,0,6.855408798609928,16,2.5,10.0,26.0,2,30,1.0,0.95,1.0,1.0,1.0,0,13.684931506849315,52.3933,4.88556,27,1,1,0,0,0,0,50,391,489,446,1,1,1,within a few hours,Westerpark,Boat,Entire home/apt,2.0,2.0,30.0,30.0
307621,0,4.90527477843843,2,1.0,1.0,1.0,3,21,1.0,0.8,0.0,1.0,1.0,0,14.01095890410959,52.35871,4.89616,18,1,1,1,0,0,1,34,53,0,119,1,0,1,unknown,Centrum-Oost,Entire rental unit,Entire home/apt,3.0,3.0,21.0,21.0
311124,1,5.786897381366708,2,1.0,1.0,1.0,5,15,1.0,0.46,0.0,1.0,1.0,0,13.673972602739726,52.37104,4.87713,47,1,1,1,0,1,1,49,506,230,191,1,1,1,within a few hours,Centrum-West,Entire rental unit,Entire home/apt,5.0,5.0,15.0,15.0
331946,1,5.62040086571715,4,2.0,4.0,5.0,3,21,1.0,0.83,0.0,1.0,1.0,0,13.616438356164384,52.3606,4.85739,38,1,1,1,0,0,1,50,98,0,157,1,0,1,within an hour,De Baarsjes - Oud-West,Entire loft,Entire home/apt,3.0,3.0,21.0,21.0
343094,1,4.653960350157523,2,1.0,1.0,1.0,5,30,1.0,1.0,1.0,1.0,1.0,1,13.58904109589041,52.35715,4.90926,19,1,0,0,0,0,0,38,277,329,429,1,1,1,within an hour,Oud-Oost,Private room in townhouse,Private room,4.926027397260274,5.0,1125.0,1125.0
359298,0,5.605802066295998,3,1.0,1.0,0.0,2,1125,0.0,0.33,0.0,1.0,1.0,0,13.547945205479452,52.36217,4.91152,11,1,1,1,0,0,0,32,341,264,216,1,1,1,a few days or more,Centrum-Oost,Entire rental unit,Entire home/apt,2.0,2.0,1125.0,1125.0
366438,1,4.997212273764115,2,1.5,1.0,1.0,3,60,1.0,0.97,1.0,1.0,1.0,0,13.534246575342467,52.36902,4.89535,44,1,1,0,0,1,1,43,266,114,401,1,1,1,within an hour,Centrum-West,Private room in condo,Private room,3.0,3.0,60.0,60.0
367107,0,5.703782474656201,2,1.5,1.0,1.0,5,30,0.4,0.44,0.0,1.0,1.0,0,13.531506849315068,52.36301,4.90077,40,1,1,1,0,0,1,49,282,508,183,1,1,1,a few days or more,Centrum-Oost,Entire condo,Entire home/apt,5.0,5.0,30.0,30.0
379885,0,5.43372200355424,2,1.0,1.0,1.0,3,360,1.0,0.8,0.0,1.0,1.0,1,13.509589041095891,52.35464776933696,4.906100814228655,21,1,1,0,0,1,0,44,405,940,786,1,1,1,unknown,De Pijp - Rivierenbuurt,Private room in houseboat,Private room,2.43013698630137,2.0,1125.0,1125.0
410997,0,5.662960480135946,4,1.5,3.0,4.0,1,365,1.0,0.8,0.0,1.0,1.0,0,13.454794520547946,52.38002332455507,4.874433921704397,11,1,1,1,0,0,1,48,289,0,88,1,0,1,unknown,Westerpark,Entire rental unit,Entire home/apt,1.0,1.0,365.0,365.0
415619,1,4.8283137373023015,3,1.0,1.0,1.0,2,14,1.0,0.7,0.0,1.0,1.0,0,13.887671232876713,52.36905,4.93528,48,1,1,1,0,0,1,32,378,271,469,1,1,1,within a day,Oostelijk Havengebied - Indische Buurt,Entire condo,Entire home/apt,2.0,2.0,14.0,14.0
431635,0,4.1588830833596715,3,0.0,2.0,4.0,5,6,1.0,0.33,0.0,1.0,1.0,0,13.495890410958904,52.37706,4.85671,20,1,1,1,0,0,0,24,478,81,87,1,1,1,within a day,Bos en Lommer,Entire condo,Entire home/apt,6.0,6.0,6.0,6.0
440992,1,5.14166355650266,4,1.0,2.0,2.0,3,60,1.0,0.71,0.0,1.0,1.0,0,13.4,52.341621,4.849049,54,1,1,1,1,1,1,35,1,0,0,1,0,0,within a day,Zuid,Boat,Entire home/apt,3.0,3.0,60.0,60.0
441424,0,5.0689042022202315,4,2.0,3.0,3.0,4,30,1.0,1.0,0.0,1.0,1.0,0,13.397260273972602,52.37386,4.9431,57,1,1,1,0,1,1,35,106,535,247,1,1,1,within a day,Oostelijk Havengebied - Indische Buurt,Entire home,Entire home/apt,4.0,4.0,1125.0,1125.0
445660,1,4.110873864173311,3,1.0,2.0,3.0,3,30,1.0,1.0,1.0,1.0,0.0,1,13.394520547945206,52.37001,4.85646,23,1,0,0,0,0,0,31,282,105,374,1,1,1,within an hour,De Baarsjes - Oud-West,Private room in guest suite,Private room,3.0,3.0,1125.0,1125.0
450767,1,5.926926025970411,4,1.0,2.0,3.0,3,1125,1.0,0.98,1.0,1.0,1.0,0,13.383561643835616,52.37006,4.90081,36,1,0,1,0,1,0,30,394,0,136,1,0,1,within a few hours,Centrum-Oost,Houseboat,Entire home/apt,2.967123287671233,3.0,1125.0,1125.0
496953,0,5.5254529391317835,2,1.5,1.0,1.0,1,31,0.0,0.0,0.0,1.0,1.0,0,13.30958904109589,52.36385,4.87483,27,1,0,0,0,1,0,32,20,0,496,1,0,1,a few days or more,De Baarsjes - Oud-West,Private room in bed and breakfast,Private room,1.0,1.0,31.0,31.0
505012,0,6.447305862541213,4,1.0,3.0,4.0,3,30,0.0,0.0,0.0,1.0,1.0,0,13.64109589041096,52.36412,4.88757,33,1,1,1,0,1,1,38,123,159,621,1,1,1,a few days or more,Centrum-Oost,Entire home,Entire home/apt,3.0,3.0,30.0,30.0
507598,0,6.2166061010848646,4,1.0,2.0,3.0,2,7,1.0,0.0,0.0,1.0,1.0,0,13.293150684931506,52.37694,4.88003,36,1,1,1,0,1,0,34,244,114,301,1,1,1,within a few hours,Centrum-West,Entire rental unit,Entire home/apt,2.0,2.0,7.0,7.0
515088,0,5.375278407684165,4,1.5,1.0,2.0,2,10,1.0,0.0,0.0,1.0,1.0,0,13.282191780821918,52.39702,4.99645,42,1,0,1,0,1,0,35,428,929,556,1,1,1,unknown,Noord-Oost,Entire condo,Entire home/apt,2.0,2.0,10.0,10.0
515749,1,5.351858133476067,4,1.0,1.0,1.0,3,365,0.9,0.91,1.0,1.0,1.0,0,13.27945205479452,52.35902,4.89606,21,1,1,0,0,0,0,27,0,0,11,0,0,1,within a few hours,Centrum-Oost,Boat,Entire home/apt,3.0,3.0,365.0,365.0
515921,1,5.170483995038151,4,1.5,2.0,1.0,3,22,1.0,0.46,0.0,1.0,1.0,0,13.27945205479452,52.35022,4.8525,52,1,1,1,0,1,1,49,509,955,80,1,1,1,within a few hours,Zuid,Entire rental unit,Entire home/apt,2.0,2.0,22.0,22.0
517996,0,5.860786223465865,2,1.0,1.0,1.0,3,1125,0.75,0.06,0.0,1.0,1.0,0,13.276712328767124,52.37827,4.88568,20,1,1,1,1,1,0,50,492,773,149,1,1,1,within a day,Centrum-West,Entire rental unit,Entire home/apt,3.0,3.0,1125.0,1125.0
528022,1,4.836281906951478,2,1.5,1.0,1.0,2,30,0.86,0.95,1.0,1.0,1.0,0,13.263013698630138,52.39142,4.88648,19,1,0,0,0,0,0,14,163,0,0,1,0,0,within a few hours,Westerpark,Private room in boat,Private room,2.0,2.0,30.0,30.0
553514,0,4.6913478822291435,2,1.5,0.0,1.0,2,30,0.5,0.0,0.0,1.0,1.0,0,14.315068493150685,52.38444,4.86916,30,1,1,0,0,1,0,30,0,0,313,0,0,1,within a day,Westerpark,Entire rental unit,Entire home/apt,2.0,2.0,30.0,30.0
556829,0,4.844187086458591,2,1.0,1.0,1.0,3,30,0.0,0.8,0.0,1.0,1.0,0,13.221917808219178,52.33558,4.86878,24,1,1,1,0,1,0,50,0,0,208,0,0,1,a few days or more,Buitenveldert - Zuidas,Entire rental unit,Entire home/apt,3.0,3.0,30.0,30.0
570753,1,4.477336814478207,3,1.5,1.0,2.0,4,30,1.0,0.42,1.0,1.0,1.0,0,13.315068493150685,52.34904,4.86765,19,1,0,0,0,0,0,32,0,0,753,0,0,1,within a few hours,Zuid,Private room in bed and breakfast,Private room,4.0,4.0,30.0,30.0
579851,1,5.030437921392435,2,1.0,1.0,1.0,2,31,1.0,1.0,1.0,1.0,1.0,0,13.191780821917808,52.3904,4.88421,34,1,0,0,0,1,1,39,324,401,1120,1,1,1,within an hour,Westerpark,Private room in guest suite,Private room,2.0,2.0,31.0,31.0
582028,0,5.236441962829949,6,1.5,3.0,1.0,3,28,1.0,0.5,0.0,1.0,1.0,0,13.186301369863013,52.36022,4.84346,42,1,1,1,1,1,1,48,347,0,338,1,0,1,unknown,Slotervaart,Entire rental unit,Entire home/apt,6.145205479452055,7.0,28.0,28.0
588020,1,5.8888779583328805,6,1.0,3.0,6.0,3,90,1.0,1.0,0.0,1.0,1.0,1,13.578082191780823,52.36918,4.91316,13,1,0,0,0,0,0,35,0,300,149,0,1,1,within an hour,Centrum-Oost,Entire rental unit,Entire home/apt,3.0602739726027397,3.0,90.0,90.0
590236,1,5.198497031265826,2,1.0,1.0,1.0,3,7,1.0,0.62,0.0,1.0,1.0,0,13.175342465753424,52.36809,4.85436,21,1,1,1,0,0,0,25,0,0,202,0,0,1,within a day,De Baarsjes - Oud-West,Entire condo,Entire home/apt,3.0,3.0,7.0,7.0
590681,0,5.638354669333745,4,2.0,4.0,1.0,2,21,1.0,0.8,0.0,1.0,1.0,0,13.175342465753424,52.34788,4.8506,23,1,1,1,0,0,1,46,189,139,156,1,1,1,within a few hours,Zuid,Entire rental unit,Entire home/apt,2.0,2.0,21.0,21.0
591951,1,5.768320995793772,4,1.5,3.0,5.0,1,30,0.7,0.21,0.0,1.0,1.0,0,13.26849315068493,52.32582,4.98403,30,1,1,1,0,0,0,48,388,94,171,1,1,1,within a day,Bijlmer-Oost,Entire home,Entire home/apt,1.0,1.0,30.0,30.0
606871,1,5.10594547390058,2,1.0,1.0,1.0,1,365,1.0,0.97,1.0,1.0,1.0,0,13.150684931506849,52.37621,4.87075,22,1,0,0,1,0,0,48,544,171,42,1,1,1,within an hour,Westerpark,Private room in houseboat,Private room,1.0,1.0,365.0,365.0
608432,1,4.709530201312334,2,1.0,0.0,1.0,1,10,1.0,1.0,1.0,1.0,1.0,0,13.147945205479452,52.381996,4.888583,26,1,0,0,0,0,0,31,547,467,85,1,1,1,within an hour,Centrum-West,Private room in bed and breakfast,Private room,1.0136986301369864,1.0,1115.835616438356,1125.0
613088,0,4.406719247264253,2,1.0,1.0,1.0,2,1125,0.87,0.91,0.0,1.0,1.0,0,13.142465753424657,52.41016,4.96369,18,1,1,1,0,1,0,35,255,0,334,1,0,1,within an hour,Noord-Oost,Other,Private room,2.0,2.0,1125.0,1125.0
620056,0,5.3612921657094255,2,1.0,1.0,1.0,3,30,1.0,0.4,0.0,1.0,1.0,0,13.210958904109589,52.3884,4.87148,26,1,1,1,0,1,0,49,51,0,232,1,0,1,within a day,Westerpark,Entire rental unit,Entire home/apt,3.0,3.0,30.0,30.0
627188,1,4.727387818712341,2,1.0,0.0,1.0,1,10,1.0,1.0,1.0,1.0,1.0,0,13.147945205479452,52.381996,4.888583,24,1,0,0,0,0,0,32,531,467,85,1,1,1,within an hour,Centrum-West,Private room in bed and breakfast,Private room,1.0136986301369864,1.0,1115.835616438356,1125.0
654931,1,5.187385805840755,2,1.0,1.0,1.0,1,1125,1.0,1.0,1.0,1.0,1.0,1,13.07945205479452,52.37167,4.8948,42,1,0,1,1,1,1,49,349,173,441,1,1,1,within an hour,Centrum-West,Other,Hotel room,1.989041095890411,2.0,1125.0,1125.0
655216,1,5.117993812416755,2,1.0,1.0,1.0,1,1125,1.0,1.0,1.0,1.0,1.0,1,13.07945205479452,52.37098,4.89434,41,1,0,1,1,1,1,50,351,173,441,1,1,1,within an hour,Centrum-West,Other,Hotel room,1.989041095890411,2.0,1125.0,1125.0
660856,0,5.981414211254481,5,3.0,4.0,6.0,4,30,1.0,0.33,0.0,1.0,1.0,0,13.063013698630137,52.3551,4.93262,38,1,1,1,0,1,1,50,434,0,135,1,0,1,within an hour,Watergraafsmeer,Entire townhouse,Entire home/apt,4.0,4.0,30.0,30.0
664697,0,4.477336814478207,2,1.5,1.0,3.0,30,180,0.9,0.0,0.0,1.0,1.0,0,13.835616438356164,52.38537,4.90241,21,1,1,1,0,1,0,35,248,644,139,1,1,1,within a day,Oud-Noord,Entire loft,Entire home/apt,30.0,30.0,180.0,180.0
683431,1,4.7535901911063645,2,1.0,1.0,1.0,1,14,1.0,0.99,0.0,1.0,1.0,0,13.356164383561644,52.34557,4.8962,27,1,0,1,0,1,0,34,428,463,205,1,1,1,within an hour,De Pijp - Rivierenbuurt,Private room in rental unit,Private room,1.0,1.0,14.0,14.0
685990,1,4.356708826689592,2,1.0,1.0,2.0,4,25,1.0,1.0,1.0,1.0,1.0,1,13.01917808219178,52.38296,4.83786,44,1,1,0,1,0,1,45,218,466,406,1,1,1,within an hour,Geuzenveld - Slotermeer,Private room in home,Private room,3.96986301369863,4.0,1118.9506849315069,1125.0
689623,1,5.093750200806762,2,1.5,1.0,1.0,10,23,1.0,0.6,1.0,1.0,1.0,0,13.36986301369863,52.37174,4.92579,26,1,1,1,0,0,1,20,415,245,213,1,1,1,unknown,Centrum-Oost,Entire rental unit,Entire home/apt,14.0,14.0,23.0,23.0
694850,1,4.51085950651685,2,1.5,1.0,1.0,2,30,1.0,1.0,1.0,1.0,1.0,0,13.002739726027396,52.37276,4.89932,35,1,0,0,0,1,1,30,468,162,532,1,1,1,within an hour,Centrum-West,Private room in rental unit,Private room,2.0,2.0,1125.0,1125.0
696113,0,5.455321115357702,4,1.0,2.0,3.0,6,21,1.0,0.25,0.0,1.0,1.0,0,13.0,52.36158,4.97639,29,1,1,1,0,1,0,39,499,224,185,1,1,1,unknown,IJburg - Zeeburgereiland,Entire rental unit,Entire home/apt,6.0,6.0,21.0,21.0
728144,1,6.139884552226255,4,1.0,4.0,5.0,3,30,1.0,0.88,0.0,1.0,1.0,0,12.93972602739726,52.36112,4.89632,48,1,1,1,0,0,1,34,497,330,306,1,1,1,within an hour,Centrum-Oost,Entire loft,Entire home/apt,3.0,3.0,1125.0,1125.0
728145,1,5.420534999272286,2,1.0,1.0,1.0,3,14,1.0,0.92,0.0,1.0,1.0,0,13.512328767123288,52.35258865356445,4.894248962402344,34,1,1,1,0,1,0,33,376,0,126,1,0,1,within an hour,De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,3.0,3.0,14.0,14.0
729260,1,5.220355825078324,2,1.0,1.0,1.0,5,14,1.0,0.56,0.0,1.0,1.0,0,12.936986301369863,52.38079,4.88536,48,1,1,1,0,1,1,31,542,112,1112,1,1,1,within a few hours,Centrum-West,Entire rental unit,Entire home/apt,6.0,6.0,14.0,14.0
729317,1,4.997212273764115,2,1.0,1.0,1.0,3,14,1.0,0.98,1.0,1.0,1.0,1,12.936986301369863,52.36052,4.89568,18,1,1,0,0,0,0,50,460,564,1,1,1,1,within an hour,Centrum-Oost,Private room in bed and breakfast,Private room,3.712328767123288,4.0,1125.0,1125.0
741043,1,6.3818160174060985,4,2.0,3.0,3.0,2,1125,1.0,1.0,1.0,1.0,1.0,0,12.915068493150685,52.37654,4.87003,77,1,1,1,0,1,1,45,0,0,259,0,0,1,within an hour,Westerpark,Boat,Entire home/apt,2.010958904109589,2.0,1125.0,1125.0
742160,1,6.855408798609928,16,2.5,8.0,22.0,2,60,1.0,0.95,1.0,1.0,1.0,0,13.684931506849315,52.36719,4.92061,24,1,1,0,0,1,0,50,331,207,446,1,1,1,within a few hours,Centrum-Oost,Boat,Entire home/apt,2.0,2.0,60.0,60.0
744659,1,4.836281906951478,2,1.0,1.0,1.0,2,7,0.91,0.86,1.0,1.0,1.0,0,13.013698630136986,52.35659,4.90827,21,1,0,0,0,1,1,30,0,0,365,0,0,1,within a day,Oud-Oost,Other,Entire home/apt,2.0,2.0,7.0,7.0
754613,1,6.063785208687608,4,1.0,1.0,3.0,3,250,1.0,0.96,1.0,1.0,1.0,0,12.887671232876713,52.37266,4.90456,34,1,1,1,1,0,0,32,154,0,95,1,0,1,within an hour,Centrum-Oost,Entire rental unit,Entire home/apt,2.9726027397260273,3.0,250.0,250.0
755431,1,4.820281565605037,2,1.5,1.0,2.0,3,1125,1.0,1.0,1.0,1.0,1.0,0,12.887671232876713,52.37066,4.87405,52,1,1,1,0,1,1,45,0,419,355,0,1,1,within an hour,De Baarsjes - Oud-West,Private room in rental unit,Private room,2.989041095890411,3.0,1125.0,1125.0
759299,0,5.545177444479562,4,1.0,3.0,4.0,3,30,1.0,0.57,0.0,1.0,1.0,0,13.005479452054795,52.36115,4.85209,53,1,1,1,0,1,1,45,509,275,124,1,1,1,within a few hours,De Baarsjes - Oud-West,Entire condo,Entire home/apt,3.0,3.0,30.0,30.0
768274,0,5.69035945432406,2,2.0,1.0,1.0,3,1125,0.8,1.0,0.0,1.0,1.0,1,12.967123287671233,52.38855,4.88521,51,1,1,1,1,0,0,18,242,225,225,1,1,1,within an hour,Westerpark,Entire rental unit,Entire home/apt,3.0,3.0,1125.0,1125.0
768737,1,4.882801922586371,2,1.5,1.0,1.0,2,7,1.0,1.0,1.0,1.0,1.0,1,12.915068493150685,52.37824,4.86826,64,1,1,1,1,1,1,34,481,71,259,1,1,1,within an hour,Westerpark,Private room in boat,Private room,1.9945205479452055,2.0,1125.0,1125.0
771343,1,4.812184355372417,2,1.5,1.0,1.0,1,14,1.0,0.98,1.0,1.0,1.0,0,13.356164383561644,52.37594,4.88387,52,1,0,1,0,1,1,48,493,578,1631,1,1,1,within an hour,Centrum-West,Private room in bed and breakfast,Private room,1.0054794520547945,1.0,14.0,14.0
771758,1,4.110873864173311,2,1.0,1.0,1.0,2,8,1.0,0.98,0.0,1.0,1.0,0,15.101369863013698,52.34985,4.83578,18,1,0,0,0,0,0,39,114,50,110,1,1,1,within an hour,Slotervaart,Private room in bed and breakfast,Private room,2.0,2.0,8.0,8.0
775655,1,4.927253685157205,2,1.0,1.0,1.0,2,31,0.93,1.0,0.0,1.0,1.0,1,12.849315068493151,52.37026,4.89931,29,1,0,0,0,1,1,35,490,921,323,1,1,1,within an hour,Centrum-Oost,Private room in rental unit,Private room,2.3013698630136985,2.0,31.0,31.0
794322,1,5.298317366548036,2,1.0,1.0,1.0,1,1125,1.0,1.0,1.0,1.0,1.0,0,12.821917808219178,52.368637074100214,4.899095646157325,34,1,0,1,0,0,0,32,175,94,331,1,1,1,within a few hours,Centrum-Oost,Private room in boat,Private room,1.0,1.0,1125.0,1125.0
800723,0,4.77912349311153,4,1.0,2.0,2.0,4,14,1.0,0.0,0.0,1.0,1.0,0,12.810958904109588,52.36884,4.86127,9,1,1,0,0,0,0,33,0,0,251,0,0,1,within a day,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,4.0,4.0,14.0,14.0
802052,1,4.948759890378168,2,1.0,1.0,1.0,1,30,1.0,1.0,1.0,1.0,1.0,0,12.808219178082192,52.36476,4.90925,44,1,0,0,0,1,0,49,442,454,596,1,1,1,within an hour,Centrum-Oost,Private room in houseboat,Private room,1.0,1.0,30.0,30.0
816940,0,4.875197323201151,2,1.5,1.0,1.0,7,40,0.83,0.83,0.0,1.0,1.0,0,12.789041095890411,52.35323,4.85421,53,1,1,1,0,1,1,33,409,0,117,1,0,1,within a few hours,Zuid,Entire rental unit,Entire home/apt,7.0,7.0,40.0,40.0
818881,1,4.976733742420574,2,1.5,1.0,1.0,6,60,1.0,0.93,0.0,1.0,1.0,0,12.786301369863013,52.36123,4.89619,35,1,1,1,0,0,1,38,0,171,296,0,1,1,within an hour,Centrum-Oost,Entire rental unit,Entire home/apt,5.978082191780822,6.0,60.0,60.0
834233,1,4.820281565605037,2,1.5,1.0,2.0,3,28,1.0,1.0,1.0,1.0,1.0,0,12.764383561643836,52.37272,4.90418,28,1,1,0,0,0,0,26,22,0,156,1,0,1,within an hour,Centrum-Oost,Private room in condo,Private room,2.9945205479452053,3.0,28.0,28.0
847093,0,5.831882477283517,4,1.0,3.0,6.0,5,7,1.0,0.75,0.0,1.0,1.0,0,12.673972602739726,52.3607,4.85991,41,1,1,1,0,1,1,41,486,270,302,1,1,1,within a few hours,De Baarsjes - Oud-West,Entire condo,Entire home/apt,5.0,5.0,7.0,7.0
851044,1,4.9344739331306915,4,1.5,2.0,2.0,1,30,0.97,1.0,0.0,1.0,1.0,1,12.736986301369862,52.33875,4.84852,47,1,1,1,0,1,1,32,242,236,271,1,1,1,within an hour,Zuid,Entire rental unit,Entire home/apt,1.0,1.0,1125.0,1125.0
